,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
59,59,annual_inc:100K-120K,0.4227789618255961,2.1868157846318614e-27,annual_inc,34.90997206658341,35.0,0.09002793341659299,35.0
60,60,annual_inc:120K-140K,0.526744370144496,6.2953266029352416e-30,annual_inc,43.49466957525684,43.0,-0.4946695752568431,43.0
61,61,annual_inc:>140K,0.44276613490200667,4.993776866533308e-27,annual_inc,36.5603655742795,37.0,0.4396344257204987,37.0
62,62,dti:<=1.4,0.10190219522745825,0.218380875789551,dti,8.41433257121623,8.0,-0.4143325712162298,8.0
63,63,dti:1.4-3.5,0.24200128497002704,0.0005452503564869008,dti,19.982683296019804,20.0,0.017316703980196024,20.0
64,64,dti:3.5-7.7,0.23565106192203292,9.251726098762894e-05,dti,19.458328658634848,19.0,-0.45832865863484784,19.0
65,65,dti:7.7-10.5,0.17041114178532785,0.00448009242707614,dti,14.071296674441593,14.0,-0.0712966744415926,14.0
66,66,dti:10.5-16.1,0.09810499853562069,0.09078501509460755,dti,8.10078804224779,8.0,-0.1007880422477907,8.0
67,67,dti:16.1-20.3,-0.004499803657358284,0.9382826798501501,dti,-0.3715606360949653,-0.0,0.3715606360949653,-0.0
68,68,dti:20.3-21.7,-0.018731181166505365,0.758035029883243,dti,-1.5466829486339553,-2.0,-0.4533170513660447,-2.0
69,69,dti:21.7-22.4,-0.06395953978974743,0.323680587962054,dti,-5.281307607668267,-5.0,0.2813076076682668,-5.0
70,70,dti:22.4-35,-0.09663161963362873,0.09271384400334484,dti,-7.97912726686311,-8.0,-0.020872733136889643,-8.0
71,71,mths_since_last_delinq:Missing,0.08580048025083792,0.10212825586326857,mths_since_last_delinq,7.084771569337938,7.0,-0.08477156933793761,7.0
72,72,mths_since_last_delinq:4-30,0.11050783694488742,0.03715757752434106,mths_since_last_delinq,9.124923066715878,9.0,-0.12492306671587805,9.0
73,73,mths_since_last_delinq:31-56,0.15801214938112182,0.003258851854122618,mths_since_last_delinq,13.047479224738005,13.0,-0.047479224738005144,13.0
74,74,mths_since_last_delinq:>=57,0.10973537774026038,0.045913147204461054,mths_since_last_delinq,9.061139076283474,9.0,-0.06113907628347448,9.0
75,75,mths_since_last_record:Missing,0.10934653463118878,0.16603906976532745,mths_since_last_record,9.029031276932823,9.0,-0.029031276932823147,9.0
76,76,mths_since_last_record:3-20,0.21745008945897265,0.07195188521002785,mths_since_last_record,17.955426438698467,18.0,0.044573561301533005,18.0
77,77,mths_since_last_record:21-31,0.09904938974013686,0.36820077793486994,mths_since_last_record,8.178768910612728,8.0,-0.17876891061272815,8.0
78,78,mths_since_last_record:32-80,0.2932521854476974,0.0004276658973967198,mths_since_last_record,24.21460509349274,24.0,-0.21460509349273948,24.0
79,79,mths_since_last_record:81-86,-0.09588809092842472,0.3369802764358837,mths_since_last_record,-7.917732143942867,-8.0,-0.0822678560571326,-8.0
80,80,mths_since_last_record:>86,0.024109511755885667,0.7687470874471954,mths_since_last_record,1.9907858666915732,2.0,0.009214133308426797,2.0
81,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
82,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
83,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
84,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
85,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
86,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
87,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
88,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
89,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
90,9,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
91,10,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
92,11,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
93,12,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
94,13,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
95,14,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
96,15,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
